                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.81855,                 1.8132,                0.80455,                 1.1475,                  0.962,                0.89888,                0.93693,                0.86671,                0.95469,                0.88426,                0.92696,                0.81525,                 0.4078,                0.69974,                0.34461,                0.89761,               0.007558,               0.007558,               0.007558
                     77,                0.81138,                 1.7934,                0.79659,                 1.1422,                0.96087,                0.89973,                0.93693,                0.86658,                0.95552,                0.88299,                0.92685,                0.81523,                0.40769,                0.69953,                0.34459,                0.89701,               0.007525,               0.007525,               0.007525
                     78,                0.81507,                 1.7988,                0.80002,                 1.1442,                0.96114,                 0.8996,                0.93717,                0.86687,                0.95461,                0.88382,                0.92694,                0.81539,                0.40712,                0.69823,                0.34416,                0.89619,               0.007492,               0.007492,               0.007492
                     79,                0.81601,                 1.7997,                0.80171,                 1.1445,                0.96173,                0.89908,                0.93715,                0.86704,                0.95473,                 0.8839,                0.92712,                0.81536,                0.40655,                0.69731,                0.34342,                0.89548,               0.007459,               0.007459,               0.007459
                     80,                0.81486,                 1.8054,                0.80328,                 1.1437,                 0.9619,                0.89839,                0.93716,                0.86705,                0.95529,                0.88286,                0.92717,                 0.8158,                0.40643,                0.69659,                0.34305,                0.89501,               0.007426,               0.007426,               0.007426
                     81,                0.81166,                 1.7978,                0.79563,                 1.1414,                0.96179,                0.89855,                0.93718,                0.86697,                0.95639,                0.88217,                0.92675,                0.81531,                0.40615,                0.69637,                 0.3424,                0.89438,               0.007393,               0.007393,               0.007393
                     82,                0.81336,                  1.803,                0.79829,                 1.1415,                0.96079,                0.90009,                0.93727,                0.86741,                0.95491,                  0.883,                0.92679,                0.81544,                0.40574,                 0.6955,                0.34171,                0.89378,                0.00736,                0.00736,                0.00736
                     83,                0.81357,                 1.7961,                  0.793,                 1.1408,                0.96121,                0.89968,                0.93737,                0.86753,                0.94926,                0.88698,                0.92651,                0.81538,                0.40563,                0.69501,                0.34106,                0.89318,               0.007327,               0.007327,               0.007327
                     84,                0.81156,                 1.7891,                 0.7932,                 1.1381,                0.95925,                0.90143,                0.93728,                0.86775,                0.95681,                 0.8811,                0.92645,                 0.8157,                0.40533,                0.69472,                0.34056,                0.89268,               0.007294,               0.007294,               0.007294
                     85,                0.81084,                 1.7947,                0.79044,                 1.1366,                0.95964,                0.90268,                 0.9369,                0.86777,                0.94835,                  0.889,                0.92652,                0.81579,                0.40488,                 0.6941,                0.33992,                0.89212,               0.007261,               0.007261,               0.007261
                     86,                0.81108,                 1.7929,                0.79262,                 1.1379,                0.96059,                0.90209,                0.93703,                0.86811,                0.95124,                0.88777,                0.92623,                0.81559,                0.40452,                 0.6931,                0.33952,                0.89148,               0.007228,               0.007228,               0.007228
                     87,                0.81244,                 1.8032,                0.79591,                 1.1369,                0.96125,                0.90179,                0.93729,                0.86813,                0.95691,                0.88363,                0.92649,                0.81564,                0.40381,                0.69285,                0.33859,                0.89085,               0.007195,               0.007195,               0.007195
                     88,                0.80804,                 1.7853,                0.79022,                 1.1361,                 0.9617,                0.90198,                 0.9374,                0.86836,                0.95728,                0.88379,                0.92663,                0.81521,                0.40363,                0.69289,                0.33777,                0.89031,               0.007162,               0.007162,               0.007162
